"Año","NOM_MUN","Localidad","Fuente.de.Abastecimiento","Coliformes.Totales..Ausencia.o.Presencia.100mL","E..Coli.Ausencia.o.Presencia.100mL","Arsenico.mg.L","Bario.mg.L","Cadmio..mg.L","Cobre.mg.L","Hierro..mg.L","Manganeso.mg.L","Plomo.mg.L","Zinc.mg.L","Cianuros..mg.L","Cloro.residual..mg.L","Cloruros..mg.L","Dureza.Total.mg.L","Fluoruros..mg.L","Nitratos.mg.L","Nitritos..mg.L","pH","SDT.mg.L","Sulfatos..mg.L","Cloro.Total..mg.L","Conductividad..µS.cm","Temperatura...C"
2015,"Eloxochitlán","Almolaya","Manantial El Cedral","Presencia","Ausencia",0,"0.0","ND",0.78,0.01,"0.0","0.0",0.04,"0.004","0.01","1.7","133.34","0.0","0.4","0.008","7.6","65.5","10.0","0.02","234.14","20.9"
2015,"Francisco I. Madero","El Quince","Pozo El Mexe","Presencia","Ausencia",0,"0.0","ND",0,0,"0.0","0.001",0.02,"0.0","0.1","25.2","177.11","0.39","1.5","0.0","7.31","662.0","78.0","0.2","1338.0","23.5"
2016,"Actopan","Agua Blanca De Iturbide","Manantial Ojo de Agua","Presencia","Presencia",0,"0.0","ND",0.7,0.07,"0.0","0.0",0.03,"0.004","0.0","47.6","78.87","0.0","0.0","0.007","7.9","80.4","0.0","0.01","27.0","20.3"
2016,"Actopan","Agua Blanca De Iturbide","Manantial La Tarjea","Presencia","Presencia",0,"0.0","ND",0.07,0.06,"0.0","0.0",0.02,"0.005","0.0","11.7","66.66","0.0","0.0","0.003","8.45","90.7","10.9","0.01","27.1","20.9"
2016,"Agua Blanca de Iturbide","Ajacuba","Pozo Ajacuba","Presencia","Ausencia",0,"0.0","ND",0.04,0,"0.0","0.0",0.1,"0.001","0.0","64.6","311.1","0.3","1.5","0.003","7.26","471.0","81.0","0.0","960.0","25.3"
2016,"Agua Blanca de Iturbide","Vicente Guerrero","Pozo El Mezquite","Presencia","Ausencia",0,"0.0","ND",0,0.01,"0.0","0.0",0.08,"0.0","0.0","52.1","348.88","0.11","0.5","0.005","7.29","563.0","86.0","0.0","1142.0","22.2"
2016,"Ajacuba","La Huapilla","Pozo Huapilla","Presencia","Ausencia",0,"0.0","ND",0.03,0.03,"0.0","0.0",0.06,"0.005","0.03","105.8","399.99","0.47","5.6","0.005","7.9","836.0","86.0","0.1","1015.0","26.8"
2016,"Ajacuba","San Francisco Sacachichilco","Pozo San Francisco","Presencia","Ausencia",0,"0.0","ND",0,0,"0.0","0.0",0.07,"0.001","0.15","30.6","226.66","0.63","0.8","0.0","7.68","300.0","33.0","0.0","1145.0","21.7"
2016,"Alfajayucan","Almolaya","Manantial La Alberca","Presencia","Ausencia",0,"0.0","ND",0.38,0,"0.0","0.0",0.08,"0.0","0.0","7.5","168.88","0.0","2.1","0.013","7.4","139.1","8.0","0.01","288.0","20.7"
2016,"Alfajayucan","Almolaya","Pozo Cobaeh","Presencia","Ausencia",0,"0.0","ND",1.22,0.01,"0.0","0.0",0.09,"0.001","0.1","14.9","182.22","0.008","1.7","0.007","7.7","146.5","6.0","0.2","282.0","20.7"
