"Año","NOM_MUN","CVEGEO_LOC","NOMGEO_LOC","Localidad","Fuente.de.Abastecimiento","Coliformes.Totales..Ausencia.o.Presencia.100mL","E..Coli.Ausencia.o.Presencia.100mL","Arsenico.mg.L","Bario.mg.L","Cadmio..mg.L","Cobre.mg.L","Hierro..mg.L","Manganeso.mg.L","Plomo.mg.L","Zinc.mg.L","Cianuros..mg.L","Cloro.residual..mg.L","Cloruros..mg.L","Dureza.Total.mg.L","Fluoruros..mg.L","Nitratos.mg.L","Nitritos..mg.L","pH","SDT.mg.L","Sulfatos..mg.L","Cloro.Total..mg.L","Conductividad..µS.cm","Temperatura...C"
2013,"Tepeapulco","1306100200022800","La Estación Ocho","La Estacion Ocho","Pozo 4","Presencia","Ausencia","0.0","0.0","ND","0.01","0.0","0.01","0.0",0.06,"0.003","0.1","3.5","133.33","0.02","0.9","0.032","7.56","157.9","7.0","0.1","328.0","24.4"
2013,"Tianguistengo",NA,NA,"San Jose Las Cruces","Tanque San José Las Cruces","Presencia","Ausencia","0.0","0.0","ND","0.182","0.0","0.0","0.182",0,"0.002","0.04","40.0","90.0","0.1","1.0","0.009","7.98","18.5","14.7","0.0","16.94","17.8"
2014,"Atotonilco el Grande","1301200780028800","La Loma del Zapote","La Loma Del Zapote","Cárcamo El Zapote","Presencia","Ausencia","0.0","0.0","ND","0.01","0.02","0.0","0.0",0.03,"0.005","0.0","2.5","124.44","0.35","1.0","0.002","7.13","74.2","6.0","0.0","72.0","17.3"
2014,"Calnali","1301400430018800","Chicuapa","Chicuapa","Noria Chiciapa","Presencia","Presencia","0.0","0.0","ND","0.01","0.02","0.0","0.0",0.02,"0.002","0.04","3.0","82.22","0.5","0.6","0.006","7.35","39.1","2.0","0.04","31.3","21.7"
2014,"Calnali","1301400290018800","Texcaco (Sagrado Corazón de Jesús)","Texcaco (Sagrado Corazon De Jesus)","Manantial Texcaco","Presencia","Presencia","0.0","0.0","ND","0.7","0.03","0.0","0.0",0.02,"0.003","0.3","1.9","126.66","0.35","0.7","0.004","7.44","122.2","2.0","0.0","117.2","21.6"
2014,"Chilcuautla","1301900300014800","El Sabino","El Sabino","Pozo El Sabino","Presencia","Ausencia","0.0","0.0","ND","0.01","0.03","0.0","0.0",0.03,"0.004","0.2","12.6","311.1","0.09","3.4","0.016","7.65","605.0","81.0","0.1","606.0","22.8"
2014,"Eloxochitlán","1302000030034800","Almoloya","Almoloya","Tanque Almoloya","Presencia","Ausencia","0.0","0.0","ND","0.66","0.02","0.0","0.0",0.02,"0.0","0.1","2.8","57.77","0.0","0.7","0.003","7.14","314.0","15.0","0.0","305.0","24.7"
2014,"Francisco I. Madero","1302300080017800","Lázaro Cárdenas (El Mexe) [Colonia]","Lazaro Cardenas (El Mexe)","Pozo El Mexe","Presencia","Ausencia","0.0","0.0","ND","0.0","0.0","0.0","0.002",0.04,"0.001","0.1","27.2","188.88","0.48","2.0","0.001","7.59","361.0","81.0","0.0","660.0","24.9"
2014,"Huautla","1302500710011800","Barrio Hondo","Barrio Hondo","Manantial Barrio Hondo","Presencia","Presencia","0.0","0.0","ND","0.51","0.1","0.0","0.0",0.02,"0.002","0.1","11.1","102.22","0.0","1.8","0.005","6.31","92.2","2.0","0.0","89.6","23.4"
2014,"Huehuetla","1302700080016800","El Bosque","Bosque","Manantial El Bosque","Presencia","Ausencia","0.0","0.0","ND","0.44","0.04","0.0","0.0",0.03,"0.006","0.08","1.5","164.44","0.18","0.6","0.004","7.09","171.8","9.0","0.06","169.9","27.1"
2014,"La Misión","1304000870022800","Los Castros","Los Castros","Manantial Los Castros","Presencia","Presencia","0.0","0.0","ND","0.02","0.02","0.1","0.004",0.02,"0.003","0.4","3.6","151.1","0.0","0.7","0.004","6.94","299.0","8.0","0.0","584.0","21.5"
2014,"Lolotla",NA,NA,"Santiago Tezontlale","Manantial Autiapa","Presencia","Ausencia","0.0","0.0","ND","0.22","0.04","0.1","0.0",0.01,"0.003","0.2","3.0","62.22","0.12","1.0","0.002","6.41","37.1","2.0","0.1","77.8","29.2"
2014,"Metepec","1303500150018800","Peña Colorada","Pena Colorada","Pozo Peña Colorada","Presencia","Ausencia","0.023","0.03","ND","0.0","0.04","0.1","0.0",0.03,"0.004","0.08","1.5","77.77","0.0","0.6","0.003","7.13","139.9","45.0","0.04","143.0","30.6"
2014,"Mineral del Chico",NA,NA,"Plan Grande","Túnel Neptón","Presencia","Ausencia","0.0","0.0","ND","0.02","0.07","0.1","0.0",0.13,"0.002","0.09","2.5","233.33","0.88","0.7","0.001","7.66","580.0","120.0","0.0","634.0","23.6"
2014,"Mineral del Monte","1303900350017800","Llano Grande","Llano Grande","Manantial Llano Grande","Presencia","Ausencia","0.0","0.0","ND","0.62","0.01","0.1","0.0",0.06,"0.003","0.0","3.0","144.44","0.11","0.8","0.004","7.99","65.7","8.0","0.0","137.9","21.0"
2014,"Mixquiahuala de Juárez","130410034002A800","Cinta Larga Sección 22","Cinta Larga Seccion 22","Pozo Pemex 5","Presencia","Ausencia","0.0","0.0","ND","0.0","0.0","0.0","0.001",0.07,"0.002","0.2","78.3","206.66","1.29","1.8","0.001","7.25","745.0","109.0","0.1","994.0","21.0"
2014,"Nicolás Flores","1304300090043800","El Dothu","El Dathu","Manantial La Barranca del Pájaro","Presencia","Ausencia","0.0","0.1","ND","0.21","0.01","0.1","0.0",0.25,"0.005","0.1","3.8","235.55","0.0","0.5","0.006","7.94","200.0","7.0","0.0","193.33","16.7"
2014,"Nopala de Villagrán","1304400890021800","El Tejocote","El Tejocote","Pozo de Tejocote","Presencia","Ausencia","0.0","0.0","ND","0.3","0.03","0.0","0.0",0.04,"0.002","0.02","60.0","103.33","0.5","1.9","0.005","7.99","126.0","13.0","0.06","254.0","24.7"
2014,"Progreso de Obregón",NA,NA,"Col. Tenhe (Mixquiahuala)","Cárcamo Teñhe","Ausencia","Presencia","0.01","0.0","ND","0.01","0.0","0.1","0.001",0.08,"0.007","2.2","129.1","135.55","0.59","2.4","0.002","6.98","123.5","120.0","2.8","887.0","21.3"
2014,"San Agustín Metzquititlán",NA,NA,"Ixcuinquilapilco","Pozo Temoaya","Presencia","Presencia","0.0","0.0","ND","0.2","0.06","0.0","0.0",0.06,"0.004","0.1","101.0","136.66","0.8","1.3","0.002","7.69","241.0","18.0","0.07","550.0","29.3"
2014,"San Agustín Metzquititlán",NA,NA,"San Juan Solis","Pozo La Vega","Presencia","Presencia","0.0","0.0","ND","0.2","0.01","0.0","0.0",0.03,"0.002","0.0","76.4","167.77","0.8","1.7","0.003","7.66","236.0","15.0","0.0","684.0","21.0"
2014,"Santiago Tulantepec de Lugo Guerrero",NA,NA,"Potrerillos","Río","Presencia","Presencia","0.028","0.7","ND","0.0","0.383","1.3","0.012",0.032,"0.0","0.03","5.25","222.22","0.11","1.4","0.006","7.61","11.2","48.9","0.02","244.0","18.5"
2014,"Tasquillo","1305800450031800","Frente al Vivero","Frente Al Vivero","Pozo El Vivero","Presencia","Ausencia","0.0","0.0","ND","0.5","0.0","0.0","0.0",0.02,"0.0","0.1","156.0","365.55","0.4","0.1","0.0","7.42","536.0","165.0","0.0","1000.0","21.7"
2015,"Actopan","1300300020014800","Benito Juárez","Benito Juarez","Pozo San Isidro","Presencia","Ausencia","0.0","0.0","ND","0.57","0.04","0.0","0.0",0.03,"0.002","0.0","27.6","421.22","0.0","3.4","0.003","7.17","951.0","119.0","0.0","1897.0","24.8"
2015,"Agua Blanca de Iturbide","1300400090026800","La Laguna","La Laguna","Manantial La Laguna","Presencia","Ausencia","0.0","0.0","ND","0.89","0.0","0.0","0.0",0.05,"0.0","0.0","1.2","95.55","0.0","0.5","0.004","7.03","136.7","0.0","0.0","200.3","20.3"
2015,"Chapulhuacán","1301800690021800","El Aguacate","El Aguacate","Manantial Aguacatillo 1","Presencia","Ausencia","0.0","0.0","ND","0.62","0.03","0.1","0.0",0.05,"0.001","0.02","3.1","122.23","0.34","0.7","0.016","7.4","173.0","5.0","0.03","341.23","22.8"
2015,"Eloxochitlán",NA,NA,"Almolaya","Manantial El Cedral","Presencia","Ausencia","0.0","0.0","ND","0.78","0.01","0.0","0.0",0.04,"0.004","0.01","1.7","133.34","0.0","0.4","0.008","7.6","65.5","10.0","0.02","234.14","20.9"
2015,"Francisco I. Madero",NA,NA,"El Quince","Pozo El Mexe","Presencia","Ausencia","0.0","0.0","ND","0.0","0.0","0.0","0.001",0.02,"0.0","0.1","25.2","177.11","0.39","1.5","0.0","7.31","662.0","78.0","0.2","1338.0","23.5"
2015,"Jacala de Ledezma","1303100630042800","El Aguaje","El Aguaje","Tanque El Aguaje","Presencia","Presencia","0.0","0.0","ND","0.1","0.01","0.02","0.0",0.02,"0.001","0.01","80.0","186.51","0.0","1.0","0.0","7.45","161.1","141.5","0.01","386.0","17.0"
2015,"Yahualica","1308000080028800","Hueyactétl","Huetacetl","Tanque de Distribución","Presencia","Presencia","0.0","0.0","ND","0.0","0.0","0.0","0.0",0.1,"0.001","0.1","36.0","201.11","0.0","0.1","0.002","8.2","306.9","3.1","0.1","455.0","30.8"
2016,"Actopan",NA,NA,"Agua Blanca De Iturbide","Manantial Ojo de Agua","Presencia","Presencia","0.0","0.0","ND","0.7","0.07","0.0","0.0",0.03,"0.004","0.0","47.6","78.87","0.0","0.0","0.007","7.9","80.4","0.0","0.01","27.0","20.3"
2016,"Actopan",NA,NA,"Agua Blanca De Iturbide","Manantial La Tarjea","Presencia","Presencia","0.0","0.0","ND","0.07","0.06","0.0","0.0",0.02,"0.005","0.0","11.7","66.66","0.0","0.0","0.003","8.45","90.7","10.9","0.01","27.1","20.9"
2016,"Actopan","1300300020014800","Benito Juárez","Benito Juarez","Pozo San Isidro","Presencia","Ausencia","0.0","0.0","ND","0.59","0.05","0.0","0.0",0.05,"0.001","0.0","28.4","422.22","0.0","3.9","0.005","7.04","953.0","122.0","0.0","269.0","24.9"
2016,"Agua Blanca de Iturbide",NA,NA,"Ajacuba","Pozo Ajacuba","Presencia","Ausencia","0.0","0.0","ND","0.04","0.0","0.0","0.0",0.1,"0.001","0.0","64.6","311.1","0.3","1.5","0.003","7.26","471.0","81.0","0.0","960.0","25.3"
2016,"Agua Blanca de Iturbide",NA,NA,"Vicente Guerrero","Pozo El Mezquite","Presencia","Ausencia","0.0","0.0","ND","0.0","0.01","0.0","0.0",0.08,"0.0","0.0","52.1","348.88","0.11","0.5","0.005","7.29","563.0","86.0","0.0","1142.0","22.2"
2016,"Ajacuba",NA,NA,"La Huapilla","Pozo Huapilla","Presencia","Ausencia","0.0","0.0","ND","0.03","0.03","0.0","0.0",0.06,"0.005","0.03","105.8","399.99","0.47","5.6","0.005","7.9","836.0","86.0","0.1","1015.0","26.8"
2016,"Ajacuba",NA,NA,"San Francisco Sacachichilco","Pozo San Francisco","Presencia","Ausencia","0.0","0.0","ND","0.0","0.0","0.0","0.0",0.07,"0.001","0.15","30.6","226.66","0.63","0.8","0.0","7.68","300.0","33.0","0.0","1145.0","21.7"
2016,"Alfajayucan",NA,NA,"Almolaya","Manantial La Alberca","Presencia","Ausencia","0.0","0.0","ND","0.38","0.0","0.0","0.0",0.08,"0.0","0.0","7.5","168.88","0.0","2.1","0.013","7.4","139.1","8.0","0.01","288.0","20.7"
2016,"Alfajayucan",NA,NA,"Almolaya","Pozo Cobaeh","Presencia","Ausencia","0.0","0.0","ND","1.22","0.01","0.0","0.0",0.09,"0.001","0.1","14.9","182.22","0.008","1.7","0.007","7.7","146.5","6.0","0.2","282.0","20.7"
2016,"Almoloya",NA,NA,"Apan","Pozo Espejel","Presencia","Ausencia","0.0","0.0","ND","0.13","0.0","0.0","0.0",0.12,"0.001","0.0","10.3","213.33","0.37","3.3","0.013","7.1","221.0","11.0","0.01","274.0","22.1"
2016,"Almoloya",NA,NA,"Apan","Pozo No. 2","Presencia","Ausencia","0.0","0.0","ND","0.03","0.0","0.0","0.0",0.09,"0.002","0.01","12.8","177.77","0.0","3.1","0.008","7.85","196.6","10.0","0.2","407.0","23.0"
2016,"Apan",NA,NA,"Atlapexco","Río Atlapexco","Presencia","Presencia","0.0","0.0","ND","0.223","0.01","0.0","0.0",0,"0.001","0.01","46.61","288.88","0.3","0.39","0.037","7.59","168.1","34.2","0.02","258.0","38.1"
2016,"Apan",NA,NA,"Tecolotitla","Manantial Tecolotitla","Presencia","Ausencia","0.0","0.0","ND","0.2","0.004","0.0","0.0",0,"0.001","0.0","45.2","272.21","0.3","0.17","0.002","8.25","176.3","6.0","0.01","263.0","33.7"
2016,"Atlapexco",NA,NA,"Agua Limpia","Manantial Ojo de Agua","Presencia","Presencia","0.0","0.0","ND","0.12","0.0","0.0","0.0",0.01,"0.0","0.1","3.6","182.22","0.22","0.2","0.0","6.07","216.0","55.0","0.0","137.5","18.0"
2016,"Atlapexco",NA,NA,"Calnali","Río Calnali","Presencia","Presencia","0.0","0.0","ND","0.1","0.0","0.0","0.0",0.03,"0.001","0.0","33.0","92.2","0.12","0.11","0.0","7.35","116.2","0.0","0.01","503.0","26.2"
2016,"Atlapexco",NA,NA,"Santa Maria Amajac","Manantial Amajac","Presencia","Presencia","0.0","0.0","ND","0.43","0.0","0.0","0.0",0.02,"0.001","0.1","5.2","253.33","0.65","0.4","0.001","7.49","288.0","95.0","0.1","856.0","27.4"
2016,"Atotonilco el Grande",NA,NA,"Pezmatlan","Manantial Chicuapa","Presencia","Presencia","0.0","0.0","ND","0.03","0.02","0.0","0.0",0.01,"0.002","0.0","4.5","85.2","0.52","0.9","0.004","7.41","49.5","4.2","0.01","65.7","24.3"
2016,"Atotonilco el Grande",NA,NA,"Pozuelos","Pozo Pozuelos","Presencia","Ausencia","0.0","0.0","ND","0.01","0.0","0.0","0.0",0.03,"0.002","0.0","26.7","326.66","0.4","0.9","0.001","7.53","146.7","40.0","0.0","532.0","28.1"
2016,"Calnali",NA,NA,"San Antonio Sabanillas","Pozo Mohai","Presencia","Ausencia","0.0","0.0","ND","0.3","0.04","0.0","0.0",0.3,"0.005","0.1","20.6","186.82","0.6","1.1","0.01","7.9","137.0","60.7","0.1","311.0","29.6"
2016,"Calnali",NA,NA,"Santa Maria Amealco","Manantial La Pila","Presencia","Presencia","0.0","0.0","ND","0.17","0.0","0.0","0.0",0.07,"0.0","0.07","9.6","199.99","0.88","3.2","0.0","7.83","216.0","19.0","0.02","447.0","23.5"
2016,"Cardonal",NA,NA,"Chapantongo","Pozo El Deca","Presencia","Ausencia","0.0","0.0","ND","0.7","0.0","0.0","0.0",0.06,"0.0","0.06","2.8","111.11","0.38","1.6","0.0","8.0","125.0","0.0","0.07","494.0","30.8"
2016,"Cardonal",NA,NA,"Iglesia Vieja (Iglesia Nueva)","Manantial Poza Azul","Presencia","Presencia","0.0","0.0","ND","0.11","0.09","0.8","0.0",0.08,"0.077","0.0","66.4","368.88","2.06","9.0","0.576","7.73","740.0","50.0","0.0","1360.0","27.0"
2016,"Chapantongo","1301700090024800","La Estancia","La Estancia","Pozo La Estancia","Presencia","Ausencia","0.0","0.0","ND","0.16","0.11","0.0","0.0",0.09,"0.0","0.0","116.9","211.1","0.37","3.9","0.005","7.36","724.0","106.0","0.0","1459.0","25.4"
2016,"Chapantongo",NA,NA,"Neblinas","Manantial Neblinas","Presencia","Presencia","0.0","0.0","ND","0.0","0.0","0.0","0.0",0.05,"0.0","0.0","5.4","257.77","0.2","1.8","0.005","7.58","206.0","5.0","0.0","390.0","25.6"
2016,"Chapulhuacán","1301800330021800","El Sabino","El Sabino","Pozo El Sabino","Presencia","Ausencia","0.0","0.0","ND","0.47","0.03","0.0","0.0",0.11,"0.008","0.02","110.3","386.66","0.09","1.2","0.004","7.38","602.0","85.0","0.01","1220.0","25.2"
2016,"Chapulhuacán",NA,NA,"Xayahualulco","Pozo Xayahualulco","Presencia","Ausencia","0.0","0.0","ND","0.03","0.79","0.1","0.0",0.04,"0.008","0.07","6.9","77.77","0.09","6.5","0.013","7.47","118.3","24.0","0.23","128.3","20.3"
2016,"Chilcuautla",NA,NA,"San Juan Hueyapan","Pozo Las Peñitas","Presencia","Ausencia","0.0","0.0","ND","1.15","0.0","0.0","0.0",0.02,"0.0","0.0","6.6","106.66","0.4","0.9","0.002","7.24","88.2","0.0","0.0","177.5","26.4"
2016,"Chilcuautla",NA,NA,"Xayahualulco","Tanque de Almacenamiento","Presencia","Ausencia","0.0","0.0","ND","0.2","0.87","0.4","0.0",0.16,"0.007","0.13","6.3","66.66","0.06","4.9","0.017","6.66","132.0","32.0","0.3","146.1","22.2"
2016,"Cuautepec de Hinojosa",NA,NA,"El Bocja","Pozo Bocja","Presencia","Ausencia","0.0","0.0","ND","0.09","0.02","0.0","0.0",0.06,"0.001","0.23","130.9","333.33","0.72","2.3","0.005","7.45","389.0","117.0","0.31","2003.0","26.9"
2016,"Cuautepec de Hinojosa",NA,NA,"San Jeronimo","Captación El Llano","Presencia","Ausencia","0.0","0.0","ND","1.4","0.04","0.0","0.0",0.09,"0.0","0.04","2.5","104.44","0.54","0.6","0.004","7.09","1053.0","2.0","0.03","79.7","15.9"
2016,"Cuautepec de Hinojosa",NA,NA,"San Pedro Gilo (Gilo)","Manantial El Rejalgar","Presencia","Presencia","0.0","0.0","ND","0.47","0.0","0.0","0.0",0.15,"0.0","0.01","3.3","182.22","0.17","0.7","0.001","7.28","156.2","1.0","0.02","277.0","21.2"
2016,"El Arenal",NA,NA,"Eloxochitlan","Manantial Acatitlán","Presencia","Presencia","0.0","0.0","ND","0.66","0.0","0.0","0.0",0.07,"0.008","0.0","24.6","377.77","0.24","5.2","0.006","6.88","446.0","39.0","0.0","277.0","22.2"
2016,"El Arenal",NA,NA,"Tepatepec","Pozo Profundo ""El Mexe""","Presencia","Ausencia","0.0","0.0","ND","0.0","0.0","0.0","0.001",0.06,"0.0","0.0","27.2","182.22","0.4","1.9","0.0","7.27","672.0","80.0","0.0","675.0","25.4"
2016,"Eloxochitlán",NA,NA,"La Loma","Manantial Las Jarillas","Presencia","Ausencia","0.0","0.0","ND","0.0","0.04","0.0","0.0",0.03,"0.001","0.1","43.2","84.44","0.0","0.7","0.06","6.67","33.6","0.0","0.2","73.6","21.7"
2016,"Eloxochitlán",NA,NA,"San Miguel Regla","Manantial San Miguel","Presencia","Ausencia","0.0","0.0","ND","0.23","0.0","0.0","0.0",0.06,"0.001","0.1","4.3","202.22","0.42","0.3","0.007","6.84","197.0","1.6","0.1","46.2","18.5"
2016,"Francisco I. Madero",NA,NA,"Los Cerezos","Cárcamo de Bombeo","Presencia","Ausencia","0.0","0.0","ND","0.13","0.02","0.0","0.0",0.01,"0.001","0.19","14.4","243.43","0.21","0.9","0.003","6.75","261.0","22.0","0.0","592.0","27.0"
2016,"Huasca de Ocampo",NA,NA,"Huazalingo","Manantial Xolotzingo","Presencia","Ausencia","0.0","0.0","ND","0.1","0.0","0.0","0.0",0.24,"0.002","0.0","55.55","211.11","0.1","1.5","0.06","6.64","38.9","22.2","0.0","27.6","23.2"
2016,"Huasca de Ocampo",NA,NA,"Tamoyon I","Tanque de Almacenamiento Tamoyon I","Presencia","Ausencia","0.0","0.0","ND","0.2","0.0","0.0","0.0",0.02,"0.001","0.13","33.3","263.3","0.4","0.4","0.0","6.71","253.3","34.2","0.46","544.0","28.2"
2016,"Huautla",NA,NA,"Huazalingo","Manantial La Cruz","Presencia","Ausencia","0.0","0.0","ND","0.42","0.0","0.0","0.0",0,"0.001","0.0","3.6","24.24","0.14","0.1","0.011","7.05","16.7","0.0","0.0","27.8","23.0"
2016,"Huautla",NA,NA,"Huehuetla","Tanque de Almacenamiento","Presencia","Ausencia","0.0","0.0","ND","0.1","0.0","0.0","0.0",0.2,"0.002","0.01","45.6","137.76","0.0","0.1","0.01","7.34","261.1","0.0","0.02","883.0","24.7"
2016,"Huazalingo",NA,NA,"Huehuetla","Manantial El Potrero","Presencia","Presencia","0.0","0.0","ND","0.01","0.0","0.0","0.0",0.1,"0.001","0.0","6.4","124.44","0.0","0.1","0.002","7.41","341.12","7.5","0.01","872.0","25.0"
2016,"Huazalingo",NA,NA,"Huejutla De Reyes","Pozo Fracc. Santa Elena","Presencia","Ausencia","0.0","0.0","ND","0.05","0.01","0.0","0.0",0.11,"0.004","0.0","18.4","336.36","0.19","0.1","0.003","7.25","154.4","32.0","0.04","346.0","24.6"
2016,"Huehuetla",NA,NA,"Minas Viejas","Manantial Encarnación","Presencia","Presencia","0.0","0.0","ND","0.0","0.0","0.0","0.0",0.53,"0.001","0.0","5.3","184.44","0.0","1.0","0.003","8.14","176.9","2.0","0.0","584.0","21.6"
2016,"Huehuetla",NA,NA,"Teacala","Cárcamo de Bombeo","Presencia","Ausencia","0.0","0.0","ND","0.04","0.0","0.0","0.0",0.08,"0.001","0.0","27.2","255.55","0.14","0.3","0.004","7.14","165.5","33.0","0.04","649.0","26.4"
2016,"Huejutla de Reyes",NA,NA,"Agua Fria Grande","Manantial El Molino","Presencia","Ausencia","0.0","0.0","ND","0.0","0.0","0.0","0.0",0.09,"0.0","0.0","5.3","357.77","0.13","1.4","0.004","7.53","302.0","4.0","0.0","468.0","26.0"
