"","NOM_MUN_ORIGINAL_MAL","datos_original_mal","datos_localidad_bien","NOM_MUN_LOCALIDAD_BIEN","CVEGEO","dist"
"93","Huehuetla","13027_Teacala","13028_Teacal","Huejutla de Reyes","1302800870013800",0.0790598290598291
"94","San Felipe Orizatlán","13046_Acuapa","13046_Tecuapa","San Felipe Orizatlán","1304601560045800",0.0790598290598291
"95","Nopala de Villagrán","13044_Mizquiapan","13045_Mixquiapan","Omitlán de Juárez","1304500150029800",0.0833333333333334
"96","Zacualtipán de Ángeles","13081_Doxhi","13084_Doxthi","Zimapán","1308400180101800",0.085858585858586
"97","Ixmiquilpan","13030_Santa Ana","13012_Santa Ana","Atotonilco el Grande","1301200310066800",0.0888888888888889
"98","Xochicoatlán","13079_Chacalapa","13016_Chacalapa","Cuautepec de Hinojosa","1301600100027800",0.0888888888888889
"99","Ixmiquilpan","13030_Santa Ana","13028_Santa Ana","Huejutla de Reyes","1302802390051800",0.0888888888888889
"100","Ixmiquilpan","13030_Santa Ana","13046_Santa Ana","San Felipe Orizatlán","1304600510026800",0.0888888888888889
"101","Xochiatipan","13078_Xochicoatlan","13078_Xochitl","Xochiatipan","130780038002A800",0.0925925925925926
"102","Cuautepec de Hinojosa","13016_El Bocja","13009_El Bocja","El Arenal","1300900020018800",0.0952380952380952
"103","Nopala de Villagrán","13044_Pacula","13044_Pachuquilla","Nopala de Villagrán","1304401120021800",0.0980392156862745
"104","Tlahuiltepa","13071_Tulancingo","13077_Tollancingo","Tulancingo de Bravo","1307701130164800",0.100490196078431
"105","Tlanchinol","13073_Tulancingo","13077_Tollancingo","Tulancingo de Bravo","1307701130164800",0.100490196078431
"106","La Misión","13040_Metepec","13035_Metepec","Metepec","1303500340022800",0.102564102564103
"107","Huasca de Ocampo","13024_Huazalingo","13025_Huazalinguillo","Huautla","130250036005A800",0.104166666666667
"108","Mixquiahuala de Juárez","13041_Molango","13015_Molanguito","Cardonal","1301500470049800",0.108974358974359
"109","Mixquiahuala de Juárez","13041_Molango","13015_Molanguito","Cardonal","1301500470049800",0.108974358974359
"110","Mixquiahuala de Juárez","13041_Molango","13015_Molanguito","Cardonal","1301500470049800",0.108974358974359
"111","Tianguistengo","13068_Las Cantinas","13036_Las Canaditas","San Agustín Metzquititlán","130360042002A800",0.110501949317739
"112","Almoloya","13007_Apan","13037_Apanco","Metztitlán","1303701130050800",0.116666666666667
"113","Almoloya","13007_Apan","13037_Apanco","Metztitlán","130370083007A800",0.116666666666667
"114","Almoloya","13007_Apan","13037_Apanco","Metztitlán","130370083007A800",0.116666666666667
"115","Almoloya","13007_Apan","13037_Apanco","Metztitlán","1303701130050800",0.116666666666667
"116","Tezontepec de Aldama","13067_Tlahuelilpan","13068_Tlahuiltepa","Tianguistengo","1306800450023800",0.116993464052287
"117","Apan","13008_Atlapexco","13080_Atlajco","Yahualica","1308000040013800",0.12008547008547
"118","Apan","13008_Atlapexco","13080_Atlalco","Yahualica","1308000050013800",0.12008547008547
"119","Xochicoatlán","13079_Zacualtipan","13062_Zacualtipanito","Tepehuacán de Guerrero","1306200300015800",0.122549019607843
"120","Alfajayucan","13006_Almolaya","13001_Almoloya","Acatlán","1300100040039800",0.123015873015873
"121","Alfajayucan","13006_Almolaya","13001_Almoloya","Acatlán","1300100040039800",0.123015873015873
"122","Alfajayucan","13006_Almolaya","13020_Almoloya","Eloxochitlán","1302000030034800",0.123015873015873
"123","Alfajayucan","13006_Almolaya","13020_Almoloya","Eloxochitlán","1302000030034800",0.123015873015873
"124","El Arenal","13009_Eloxochitlan","13014_Eloxochititla","Calnali","1301400940018800",0.125730994152047
"125","Jaltocán","13032_Puerto La Piedra","13043_Puerto De Piedra","Nicolás Flores","130430018001A800",0.125996810207337
"126","Atlapexco","13011_El Panteon","13016_El Pinon","Cuautepec de Hinojosa","1301600600031800",0.130952380952381
"127","Atlapexco","13011_El Panteon","13031_El Pinon","Jacala de Ledezma","1303100520042800",0.130952380952381
"128","Cardonal","13015_Chapantongo","13017_Zimapantongo","Chapantongo","1301700220024800",0.132897603485839
"129","San Agustín Metzquititlán","13036_Orizatlan","13030_Orizabita","Ixmiquilpan","1303000340026800",0.133333333333333
"130","San Bartolo Tutotepec","13053_Orizatlan","13030_Orizabita","Ixmiquilpan","1303000340026800",0.133333333333333
"131","Tulancingo de Bravo","13077_Xochicoatlan","13078_Xochitl","Xochiatipan","130780038002A800",0.136752136752137
"132","Huejutla de Reyes","13028_Jaltocan","13028_Ixcatlan","Huejutla de Reyes","1302800570047800",0.136904761904762
"133","El Arenal","13009_Tepatepec","13019_Texcatepec","Chilcuautla","1301900130029800",0.145405982905983
"134","Pacula","13047_Pisaflores","13057_Mirasoles","Singuilucan","1305700150049800",0.145405982905983
"135","Omitlán de Juárez","13045_Pisaflores","13057_Mirasoles","Singuilucan","1305700150049800",0.145405982905983
"136","Lolotla","13034_Santiago Tezontlale","13034_Santiago","Lolotla","130340026003A800",0.146666666666667
"137","Huejutla de Reyes","13028_Tlahuatempa","13062_Teyahuala","Tepehuacán de Guerrero","130620027002A800",0.14851684263449
"138","Tecozautla","13059_Rancho Pathesito","13059_Rancho Viejo","Tecozautla","1305900480043800",0.148779461279461
